cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Preparation / test / friendly events,521,2020,Taiwan Test Event,2020-08-01,2020-08-08,WAG,senior,International Event,,,30
Cups / opens / trophies / invitationals,520,2020,Ljubljana Cup,2020-09-25,2020-09-26,WAG,senior,International Event,,,16
Cups / opens / trophies / invitationals,492,2020,Unisport Norges Cup,2020-10-10,2020-10-10,MAG,junior and senior,International Event,,,141
Other named international meets,515,2020,French Test Meet,2020-10-30,2020-10-31,WAG,junior and senior,International Event,,,156
Other named international meets,482,2020,Friendship & Solidarity Meet,2020-11-08,2020-11-08,MAG and WAG,senior,International Event,,,131
Cups / opens / trophies / invitationals,517,2020,Portuguese Open,2020-11-22,2020-11-22,WAG,junior and senior,International Event,,,40
Other named international meets,516,2020,Coupe d'Hiver,2020-12-12,2020-12-12,WAG,junior and senior,International Event,,,87
Cups / opens / trophies / invitationals,455,2020,Voronin Cup,2020-12-17,2020-12-21,MAG and WAG,junior and senior,International Event,,,603
Cups / opens / trophies / invitationals,575,2021,Beach Blast Invitational,2021-01-14,2021-01-16,MAG,senior,International Event,,,98
Cups / opens / trophies / invitationals,625,2021,Liukin Invitational,2021-02-06,2021-02-06,MAG,junior and senior,International Event,,,43
Cups / opens / trophies / invitationals,662,2021,WOGA Classic,2021-02-06,2021-02-06,WAG,junior and senior,International Event,,,60
Other named international meets,714,2021,Singapore Virtual Competition,2021-02-07,2021-02-07,WAG,senior,International Event,,,28
Cups / opens / trophies / invitationals,690,2021,Israeli Winter Cup,2021-02-12,2021-02-13,WAG,junior and senior,International Event,,,135
Cups / opens / trophies / invitationals,562,2021,Winter Cup,2021-02-26,2021-02-28,MAG and WAG,junior and senior,International Event,,,442
Other named international meets,703,2021,Belgian Test Meet,2021-03-05,2021-03-05,WAG,senior,International Event,,,45
Cups / opens / trophies / invitationals,593,2021,Belarusian Open Cup,2021-03-15,2021-03-17,MAG and WAG,junior and senior,International Event,,,341
Other named international meets,677,2021,Colombia Control Meet,2021-03-27,2021-03-28,WAG,junior and senior,International Event,,,110
Cups / opens / trophies / invitationals,650,2021,Polish Senior Cup,2021-03-27,2021-03-28,WAG,junior and senior,International Event,,,55
Cups / opens / trophies / invitationals,711,2021,Yangtze Delta Invitational,2021-03-29,2021-03-30,WAG,junior and senior,International Event,,,168
Preparation / test / friendly events,704,2021,Heerenveen Friendly,2021-04-03,2021-04-03,WAG,senior,International Event,,,58
Cups / opens / trophies / invitationals,654,2021,Hopes Classic,2021-04-23,2021-04-23,WAG,junior,International Event,,,207
Cups / opens / trophies / invitationals,652,2021,American Classic,2021-04-24,2021-04-24,WAG,junior and senior,International Event,,,167
Other named international meets,693,2021,German Junior Meet,2021-05-01,2021-05-01,WAG,junior,International Event,,,100
Cups / opens / trophies / invitationals,638,2021,NHK Trophy,2021-05-15,2021-05-16,MAG and WAG,senior,International Event,,,315
Cups / opens / trophies / invitationals,569,2021,Ukraine International Cup,2021-05-20,2021-05-23,MAG and WAG,junior and senior,International Event,,,441
Cups / opens / trophies / invitationals,653,2021,U.S. Classic,2021-05-21,2021-05-22,WAG,junior and senior,International Event,,,256
Cups / opens / trophies / invitationals,601,2021,Russian Cup,2021-06-08,2021-06-13,MAG and WAG,senior,International Event,,,652
Preparation / test / friendly events,692,2021,Munich Junior Friendly,2021-06-12,2021-06-12,WAG,junior,International Event,,,80
Cups / opens / trophies / invitationals,701,2021,Iceland Classic,2021-06-18,2021-06-20,WAG,junior and senior,International Event,,,153
Other named international meets,673,2021,Norwegian FIG Meet,2021-06-21,2021-06-25,WAG,junior and senior,International Event,,,341
