event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
1185,Scottish Championships,2024,2024-02-17,2024-02-18,MAG and WAG,junior and senior,International Event,National Event,685
1393,Scottish Championships,2025,2025-03-01,2025-03-02,MAG and WAG,junior and senior,International Event,National Event,955
1614,Scottish Championships,2026,2026-02-20,2026-02-22,MAG and WAG,junior and senior,International Event,National Event,1306
209,Singapore Championships,2018,2018-03-10,2018-03-11,WAG,junior and senior,International Event,National Event,137
359,Singapore Championships,2019,2019-03-15,2019-03-17,MAG and WAG,junior and senior,International Event,National Event,84
542,Singapore Championships,2021,2021-03-12,2021-03-21,MAG and WAG,junior and senior,International Event,National Event,176
858,Singapore Championships,2022,2022-03-11,2022-03-12,MAG and WAG,junior and senior,International Event,National Event,272
1089,Singapore Championships,2023,2023-03-09,2023-03-19,MAG and WAG,junior and senior,International Event,National Event,250
1304,Singapore Championships,2024,2024-03-08,2024-03-17,MAG and WAG,junior and senior,International Event,National Event,366
1407,Singapore Championships,2025,2025-03-14,2025-03-23,MAG and WAG,junior and senior,International Event,National Event,379
1635,Singapore Championships,2026,2026-03-12,2026-03-15,MAG and WAG,junior and senior,International Event,National Event,367
1528,Slovenian Championships,2025,2025-11-29,2025-11-30,MAG and WAG,junior and senior,International Event,National Event,160
211,South Korean Championships,2018,2018-06-09,2018-06-10,WAG,senior,International Event,National Event,80
573,South Korean Championships,2021,2021-05-01,2021-05-02,MAG and WAG,senior,International Event,National Event,1119
1028,South Korean Championships,2023,2023-04-14,2023-04-16,MAG and WAG,junior and senior,International Event,National Event,1297
1262,South Korean Championships,2024,2024-04-19,2024-04-21,MAG and WAG,junior and senior,International Event,National Event,1500
1466,South Korean Championships,2025,2025-04-18,2025-04-20,MAG and WAG,junior and senior,International Event,National Event,1887
57,Spanish Championships,2018,2018-07-08,2018-07-15,MAG and WAG,junior and senior,International Event,National Event,519
264,Spanish Championships,2019,2019-06-30,2019-07-07,MAG and WAG,junior and senior,International Event,National Event,558
459,Spanish Championships,2020,2020-12-04,2020-12-08,MAG and WAG,junior and senior,International Event,National Event,261
561,Spanish Championships,2021,2021-12-03,2021-12-08,MAG and WAG,junior and senior,International Event,National Event,615
787,Spanish Championships,2022,2022-07-20,2022-07-23,MAG and WAG,junior and senior,International Event,National Event,628
1009,Spanish Championships,2023,2023-07-19,2023-07-23,MAG and WAG,junior and senior,International Event,National Event,688
1244,Spanish Championships,2024,2024-06-19,2024-06-23,MAG and WAG,junior and senior,International Event,National Event,721
1451,Spanish Championships,2025,2025-06-24,2025-06-29,MAG and WAG,junior and senior,International Event,National Event,702
1128,Spanish League Final,2023,2023-06-16,2023-06-18,WAG,junior and senior,International Event,National Event,276
1344,Spanish League Final,2024,2024-06-29,2024-06-30,WAG,junior and senior,International Event,National Event,270
1575,Spanish League Final,2025,2025-07-05,2025-07-06,WAG,junior and senior,International Event,National Event,218
1699,Spanish League Final,2026,2026-06-22,2026-06-28,WAG,junior and senior,International Event,National Event,442
375,Spanish League Finals,2019,2019-06-15,2019-06-16,WAG,junior and senior,International Event,National Event,498
663,Spanish League Finals,2021,2021-12-10,2021-12-12,WAG,junior and senior,International Event,National Event,223
33,Swedish Championships,2018,2018-07-03,2018-07-06,MAG,junior and senior,International Event,National Event,240
246,Swedish Championships,2019,2019-06-26,2019-06-27,MAG and WAG,junior and senior,International Event,National Event,496
456,Swedish Championships,2020,2020-10-10,2020-10-11,MAG and WAG,junior and senior,International Event,National Event,562
526,Swedish Championships,2021,2021-10-02,2021-10-03,MAG and WAG,junior and senior,International Event,National Event,719
757,Swedish Championships,2022,2022-06-27,2022-06-28,MAG and WAG,junior and senior,International Event,National Event,567
978,Swedish Championships,2023,2023-06-28,2023-06-29,MAG and WAG,junior and senior,International Event,National Event,852
1213,Swedish Championships,2024,2024-06-29,2024-06-30,MAG and WAG,junior and senior,International Event,National Event,852
1425,Swedish Championships,2025,2025-04-26,2025-04-27,MAG and WAG,junior and senior,International Event,National Event,944
245,Swedish Junior Men's Championships,2019,2019-05-04,2019-05-04,MAG,junior,International Event,National Event,88
128,Swiss Championships,2018,2018-09-22,2018-09-23,MAG and WAG,junior and senior,International Event,National Event,151
334,Swiss Championships,2019,2019-09-07,2019-09-08,MAG and WAG,junior and senior,International Event,National Event,147
588,Swiss Championships,2021,2021-06-26,2021-06-26,MAG and WAG,senior,International Event,National Event,180
809,Swiss Championships,2022,2022-06-25,2022-06-26,MAG and WAG,junior and senior,International Event,National Event,510
1097,Swiss Championships,2023,2023-09-02,2023-09-03,MAG and WAG,junior and senior,International Event,National Event,251
1212,Swiss Championships,2024,2024-06-22,2024-06-23,MAG and WAG,junior and senior,International Event,National Event,508
1422,Swiss Championships,2025,2025-06-14,2025-06-14,MAG and WAG,junior and senior,International Event,National Event,383
